"","higherseed_win_prob","lowerseed_win_prob","game4_prob","game5_prob","game6_prob","game7_prob","team","opponent"
"86",0.509,0.491,0.123,0.25,0.317,0.31,"PHX","PHX"
"87",0.546,0.454,0.102,0.25,0.328,0.32,"PHX","LAL"
"88",0.443,0.557,0.137,0.246,0.321,0.296,"PHX","NOP"
"89",0.277,0.723,0.186,0.253,0.303,0.258,"PHX","BOS"
"90",0.403,0.597,0.122,0.239,0.353,0.286,"PHX","NYK"
"91",0.606,0.394,0.128,0.264,0.317,0.291,"PHX","MIL"
"92",0.625,0.375,0.125,0.261,0.306,0.308,"PHX","CLE"
"93",0.604,0.396,0.102,0.259,0.313,0.326,"PHX","ORL"
"94",0.551,0.449,0.129,0.261,0.305,0.305,"PHX","IND"
"95",0.489,0.511,0.123,0.277,0.32,0.28,"PHX","PHI"
"96",0.521,0.479,0.122,0.234,0.3,0.344,"PHX","MIA"
"97",0.399,0.601,0.102,0.209,0.368,0.321,"LAL","OKC"
"98",0.371,0.629,0.123,0.196,0.364,0.317,"LAL","DEN"
"99",0.554,0.446,0.114,0.215,0.322,0.349,"LAL","MIN"
"100",0.596,0.404,0.118,0.268,0.288,0.326,"LAL","LAC"
"101",0.513,0.487,0.107,0.254,0.309,0.33,"LAL","DAL"
"102",0.536,0.464,0.105,0.248,0.325,0.322,"LAL","PHX"
"103",0.552,0.448,0.082,0.251,0.338,0.329,"LAL","LAL"
"104",0.44,0.56,0.109,0.258,0.306,0.327,"LAL","NOP"
"105",0.277,0.723,0.147,0.253,0.337,0.263,"LAL","BOS"
"106",0.421,0.579,0.107,0.244,0.358,0.291,"LAL","NYK"
"107",0.582,0.418,0.099,0.26,0.295,0.346,"LAL","MIL"
"108",0.621,0.379,0.112,0.248,0.275,0.365,"LAL","CLE"
"109",0.613,0.387,0.103,0.26,0.3,0.337,"LAL","ORL"
"110",0.576,0.424,0.101,0.259,0.302,0.338,"LAL","IND"
"111",0.495,0.505,0.105,0.25,0.329,0.316,"LAL","PHI"
