"","team","opponent","higherseed_win_prob","lowerseed_win_prob","conference","seed"
"133","BOS","IND",0.811,0.189,"east",1
"134","BOS","PHI",0.74,0.26,"east",1
"135","BOS","MIA",0.755,0.245,"east",1
"136","NYK","OKC",0.546,0.454,"east",2
"137","NYK","DEN",0.453,0.547,"east",2
"138","NYK","MIN",0.648,0.352,"east",2
"139","NYK","LAC",0.692,0.308,"east",2
"140","NYK","DAL",0.578,0.422,"east",2
"141","NYK","PHX",0.634,0.366,"east",2
"142","NYK","LAL",0.634,0.366,"east",2
"143","NYK","NOP",0.504,0.496,"east",2
"144","NYK","BOS",0.378,0.622,"east",2
"145","NYK","MIL",0.701,0.299,"east",2
"146","NYK","CLE",0.669,0.331,"east",2
"147","NYK","ORL",0.706,0.294,"east",2
"148","NYK","IND",0.656,0.344,"east",2
"149","NYK","PHI",0.563,0.437,"east",2
"150","NYK","MIA",0.623,0.377,"east",2
"151","MIL","OKC",0.374,0.626,"east",3
"152","MIL","DEN",0.314,0.686,"east",3
"153","MIL","MIN",0.502,0.498,"east",3
"154","MIL","LAC",0.562,0.438,"east",3
"155","MIL","DAL",0.502,0.498,"east",3
"156","MIL","PHX",0.477,0.523,"east",3
"157","MIL","LAL",0.518,0.482,"east",3
"158","MIL","NOP",0.397,0.603,"east",3
"159","MIL","BOS",0.258,0.742,"east",3
"160","MIL","NYK",0.395,0.605,"east",3
"161","MIL","CLE",0.582,0.418,"east",3
"162","MIL","ORL",0.606,0.394,"east",3
"163","MIL","IND",0.554,0.446,"east",3
"164","MIL","PHI",0.454,0.546,"east",3
"165","MIL","MIA",0.505,0.495,"east",3
"166","CLE","OKC",0.344,0.656,"east",4
"167","CLE","DEN",0.274,0.726,"east",4
"168","CLE","MIN",0.491,0.509,"east",4
"169","CLE","LAC",0.548,0.452,"east",4
"170","CLE","DAL",0.464,0.536,"east",4
"171","CLE","PHX",0.482,0.518,"east",4
"172","CLE","LAL",0.532,0.468,"east",4
"173","CLE","NOP",0.365,0.635,"east",4
"174","CLE","BOS",0.241,0.759,"east",4
"175","CLE","NYK",0.393,0.607,"east",4
"176","CLE","MIL",0.537,0.463,"east",4
"177","CLE","ORL",0.562,0.438,"east",4
"178","CLE","IND",0.512,0.488,"east",4
"179","CLE","PHI",0.421,0.579,"east",4
"180","CLE","MIA",0.488,0.512,"east",4
"181","ORL","OKC",0.347,0.653,"east",5
"182","ORL","DEN",0.254,0.746,"east",5
"183","ORL","MIN",0.464,0.536,"east",5
"184","ORL","LAC",0.564,0.436,"east",5
"185","ORL","DAL",0.474,0.526,"east",5
"186","ORL","PHX",0.471,0.529,"east",5
"187","ORL","LAL",0.504,0.496,"east",5
"188","ORL","NOP",0.393,0.607,"east",5
"189","ORL","BOS",0.232,0.768,"east",5
"190","ORL","NYK",0.371,0.629,"east",5
"191","ORL","MIL",0.528,0.472,"east",5
"192","ORL","CLE",0.541,0.459,"east",5
"193","ORL","IND",0.512,0.488,"east",5
"194","ORL","PHI",0.413,0.587,"east",5
"195","ORL","MIA",0.462,0.538,"east",5
"196","IND","OKC",0.345,0.655,"east",6
"197","IND","DEN",0.283,0.717,"east",6
"198","IND","MIN",0.527,0.473,"east",6
"199","IND","LAC",0.553,0.447,"east",6
"200","IND","DAL",0.483,0.517,"east",6
"201","IND","PHX",0.531,0.469,"east",6
"202","IND","LAL",0.519,0.481,"east",6
"203","IND","NOP",0.391,0.609,"east",6
"204","IND","BOS",0.275,0.725,"east",6
"205","IND","NYK",0.391,0.609,"east",6
"206","IND","MIL",0.609,0.391,"east",6
"207","IND","CLE",0.605,0.395,"east",6
"208","IND","ORL",0.597,0.403,"east",6
"209","IND","PHI",0.467,0.533,"east",6
"210","IND","MIA",0.518,0.482,"east",6
"211","PHI","OKC",0.451,0.549,"east",7
"212","PHI","DEN",0.403,0.597,"east",7
"213","PHI","MIN",0.589,0.411,"east",7
"214","PHI","LAC",0.648,0.352,"east",7
"215","PHI","DAL",0.52,0.48,"east",7
"216","PHI","PHX",0.548,0.452,"east",7
"217","PHI","LAL",0.569,0.431,"east",7
"218","PHI","NOP",0.509,0.491,"east",7
"219","PHI","BOS",0.313,0.687,"east",7
"220","PHI","NYK",0.475,0.525,"east",7
"221","PHI","MIL",0.657,0.343,"east",7
"222","PHI","CLE",0.621,0.379,"east",7
"223","PHI","ORL",0.641,0.359,"east",7
"224","PHI","IND",0.583,0.417,"east",7
"225","PHI","MIA",0.545,0.455,"east",7
"226","MIA","OKC",0.363,0.637,"east",8
"227","MIA","DEN",0.33,0.67,"east",8
"228","MIA","MIN",0.553,0.447,"east",8
"229","MIA","LAC",0.588,0.412,"east",8
"230","MIA","DAL",0.509,0.491,"east",8
"231","MIA","PHX",0.487,0.513,"east",8
"232","MIA","LAL",0.533,0.467,"east",8
"233","MIA","NOP",0.417,0.583,"east",8
"234","MIA","BOS",0.274,0.726,"east",8
"235","MIA","NYK",0.435,0.565,"east",8
"236","MIA","MIL",0.584,0.416,"east",8
"237","MIA","CLE",0.581,0.419,"east",8
"238","MIA","ORL",0.569,0.431,"east",8
"239","MIA","IND",0.576,0.424,"east",8
"240","MIA","PHI",0.476,0.524,"east",8
